datetime,main.temp,main.humidity,main.feels_like,city_name
2026-01-01 08:02:24+08:00,22.07,91.0,22.71,Malaybalay
2026-01-01 08:02:48+08:00,27.25,80.0,30.3,Ormoc
2026-01-01 08:02:53+08:00,24.94,87.0,25.76,Pagadian
2026-01-01 08:03:05+08:00,26.61,82.0,26.61,Quezon City
2026-01-01 08:03:36+08:00,27.24,80.0,30.28,Surigao City
2026-01-01 08:03:41+08:00,26.32,82.0,26.32,Tacloban City
2026-01-01 08:04:02+08:00,25.94,86.0,26.84,Toledo City
2026-01-01 08:04:13+08:00,25.99,89.0,25.99,Zamboanga City
2026-01-01 09:00:03+08:00,25.25,83.0,26.0,Angeles City
2026-01-01 09:00:05+08:00,25.47,87.0,26.34,Antipolo
2026-01-01 09:00:01+08:00,27.37,80.0,30.58,Bacolod
2026-01-01 09:00:12+08:00,17.02,83.0,16.94,Baguio
2026-01-01 09:00:14+08:00,28.3,76.0,32.19,Bais
2026-01-01 09:00:20+08:00,26.17,80.0,26.17,Batangas City
2026-01-01 09:00:23+08:00,29.79,81.0,36.79,Baybay
2026-01-01 09:00:29+08:00,27.79,79.0,31.44,Bogo
2026-01-01 09:00:31+08:00,27.08,79.0,29.82,Borongan
2026-01-01 09:00:33+08:00,28.89,78.0,34.02,Butuan
2026-01-01 09:00:34+08:00,28.88,78.0,34.0,Cabadbaran
2026-01-01 09:00:36+08:00,25.46,84.0,26.25,Cabanatuan City
2026-01-01 09:00:40+08:00,27.75,82.0,31.76,Cadiz
2026-01-01 09:00:17+08:00,28.28,70.0,31.22,Cagayan de Oro
2026-01-01 09:00:46+08:00,28.32,80.0,32.91,Calamba
2026-01-01 09:00:49+08:00,27.29,80.0,30.4,Calbayog City
2026-01-01 09:00:51+08:00,27.37,80.0,30.58,Caloocan City
2026-01-01 09:01:01+08:00,27.41,77.0,30.33,Catbalogan
2026-01-01 09:01:07+08:00,26.81,89.0,30.11,Cebu City
2026-01-01 09:01:18+08:00,25.24,83.0,25.99,Dagupan
2026-01-01 09:01:28+08:00,28.93,77.0,33.92,Digos
